manuscript_location,value_as_reported,source_output_file,table_or_line_reference,script_and_line,date_generated,dataset_version
Methods/Sample size - recommended n,"3000 donors (12 centres x 250)",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 433 and 444-455,05_pilot03-sample-size_v1.0_2026-09-11.py sec.8 RECOMMENDED DESIGN block,2026-09-11,NO DATASET - pre-specification; input doc SHA-256 7c3a67f5243dcc1e7e4fdb91112880ef1a0733843854e27794d43974e741e4d5
Methods/Sample size - design effect at recommended design,"DEFF = 3.71 (ICC 0.010; 250/centre; cv 0.30)",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 453,05_pilot03-sample-size_v1.0_2026-09-11.py deff(),2026-09-11,NO DATASET - pre-specification
Methods/Sample size - effective n,"n_eff = 808",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 453,05_pilot03-sample-size_v1.0_2026-09-11.py sec.8,2026-09-11,NO DATASET - pre-specification
Methods/Sample size - achieved precision primary criterion,"+/- 1.43 percentage points on RHCE*ce(733G)",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 453,05_pilot03-sample-size_v1.0_2026-09-11.py sec.8,2026-09-11,NO DATASET - pre-specification
Methods/Sample size - worst-case precision at ICC 0.050,"+/- 2.84 percentage points; n_eff 206",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 455,05_pilot03-sample-size_v1.0_2026-09-11.py sec.8,2026-09-11,NO DATASET - pre-specification
Methods/Sample size - kappa requirement,"effective n = 492 donors for kappa 95% CI half-width 0.10 (worst of D/C/E/c at kappa 0.80)",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 438 and 266-272,05_pilot03-sample-size_v1.0_2026-09-11.py n_for_kappa_halfwidth(),2026-09-11,NO DATASET - pre-specification
Methods/Sample size - kappa instability antigen e,"V1 = 8.349; n = 3208 for half-width 0.10 at pi 98.84%",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 269,05_pilot03-sample-size_v1.0_2026-09-11.py sec.6b,2026-09-11,NO DATASET - pre-specification
Methods/Sample size - kappa paradox illustration,"kappa = 0.128 at po 0.980 and pi 98.84%",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 248,05_pilot03-sample-size_v1.0_2026-09-11.py sec.6a,2026-09-11,NO DATASET - pre-specification
Methods/Sample size - centre-limited precision floor,"+/- 1.66 pp at ICC 0.010 with K = 12 centres",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 364,05_pilot03-sample-size_v1.0_2026-09-11.py sec.7b,2026-09-11,NO DATASET - pre-specification
Methods/Sample size - DEL D-negative stratum requirement,"681 serologic D-negative donors for +/-2pp at the Thai bracket 7.60%",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 215,05_pilot03-sample-size_v1.0_2026-09-11.py sec.5,2026-09-11,NO DATASET - pre-specification
Methods/Sample size - DEL total intake range,"4540 to 22700 total donors across pi_Dneg brackets 15% to 3%",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,lines 218-223,05_pilot03-sample-size_v1.0_2026-09-11.py sec.5b,2026-09-11,NO DATASET - pre-specification
Methods/Sample size - zero-count exact upper bound n=354,"1.037%",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 106,05_pilot03-sample-size_v1.0_2026-09-11.py cp_upper_zero(),2026-09-11,NO DATASET - pre-specification
Methods/Sample size - n to exclude 0.1% with zero observed,"3688 donors",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 119,05_pilot03-sample-size_v1.0_2026-09-11.py sec.3,2026-09-11,NO DATASET - pre-specification
Discussion/limitation - fragility of planning input RHCE*ce(733G),"9.46% (67/708; 95% CI 7.41% to 11.86%)",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 29,05_pilot03-sample-size_v1.0_2026-09-11.py sec.1 clopper_pearson_ci(),2026-09-11,SOURCE = Madkhali 2025 DOI 10.1111/tme.70040 (GULF)
Discussion/limitation - fragility of planning input RHD*r's,"0.28% (2/708; 95% CI 0.03% to 1.02%)",05_pilot03-sample-size-output_v1.0_2026-09-11.txt,line 33,05_pilot03-sample-size_v1.0_2026-09-11.py sec.1 clopper_pearson_ci(),2026-09-11,SOURCE = Madkhali 2025 DOI 10.1111/tme.70040 (GULF)
"PROVENANCE NOTE 2026-09-11","Input document SHA changed 1c8fb28d09aad05919b9368b54d1068762e1a3f5d039020af45f4efabe8c3599 -> 7c3a67f5243dcc1e7e4fdb91112880ef1a0733843854e27794d43974e741e4d5","05_pilot03-sample-size-output_v1.0_2026-09-11.txt","header line 8","n/a","2026-09-11","Input methods-scoping file corrected (false DEL universal negative removed per D041/D043). Output regenerated. ALL NUMERIC VALUES UNCHANGED - the correction was to narrative text only; verified by diff of both outputs excluding timestamp, SHA and the DEL wording lines."
